"ROI_A","ROI_B","a","b","k","w_k","w_norm","w_sync","w_frac","w_k_log","w_norm_log","w_sync_log","w_frac_log","xA","yA","zA","xB","yB","zB","lobeA","lobeB"
"T3p.R","PCN.R",56.0697399572712,6.57462874630639,23.7993701799323,23.7993701799323,1.23955435653956,0.480842837136957,0.431761592758353,3.21081825687798,0.806276898100764,0.392611410233231,0.358905569174261,53.8,-23.36,-18.1,9.33,-58.48,48.1,"Temporal","Parietal"
"T3p.R","CN.L",67.7141978049697,9.3596410402004,16.5762935419529,16.5762935419529,0.658442664068605,0.284061677046255,0.30076804908142,2.86655103623739,0.505879007850857,0.250028239196875,0.262954896995462,53.8,-23.36,-18.1,-8.66,-80.04,37.62,"Temporal","Occipital"
"T3p.R","CN.R",9.85652801911876,4.24229239398452,47.968291245786,47.968291245786,7.41808778580545,8.54404515674276,0.87187014323638,3.89117297120683,2.13038269863868,2.25591741621179,0.62693800772005,53.8,-23.36,-18.1,9.38,-78.23,37.98,"Temporal","Occipital"
"T3p.R","FOC.L",26.1642572994913,1.2663936151612,21.0750812701637,21.0750812701637,3.66126105682636,0.846461394877275,0.605772776249581,3.09444942803087,1.53928602458131,0.613271047903877,0.473605121236756,53.8,-23.36,-18.1,-29.69,23.81,-6.49,"Temporal","Frontal"
"T3p.R","FOC.R",10.0339057581825,55.6623672439036,16.3678978118391,16.3678978118391,0.692591344866162,0.358721221802318,0.33257246424576,2.85462354885527,0.52626069472677,0.306543979322687,0.287111257752384,53.8,-23.36,-18.1,29.31,23.43,-6.21,"Temporal","Frontal"
"T3p.R","PHa.L",58.7889185154099,1.49353640071537,22.2220705761005,22.2220705761005,2.3715314106044,0.387850981493851,0.424382562030418,3.1451031443915,1.21536706565641,0.327756494284766,0.353738430020247,53.8,-23.36,-18.1,-21.68,-9.28,-20.7,"Temporal","Temporal"
"T3p.R","PHa.R",65.317958279982,28.9323881083621,11.8199289151126,11.8199289151126,0.271898256703863,0.324852092038394,0.200524360670347,2.55100090663414,0.240510474850778,0.281300824556975,0.182758428576868,53.8,-23.36,-18.1,22.59,-8.04,-20.63,"Temporal","Temporal"
"T3p.R","PHp.L",22.0554117391175,1.76663800644709,20.7275165412031,20.7275165412031,3.32059493273247,1.02162485484282,0.63506258684469,3.07857950063183,1.46339310868435,0.703901571655575,0.491681083032291,53.8,-23.36,-18.1,-22.15,-32.31,-7.13,"Temporal","Temporal"
"T3p.R","PHp.R",61.4976143568112,1.73483345770298,30.7259393450473,30.7259393450473,2.97472716810627,0.514131678088865,0.492859691453064,3.45713462214706,1.37995610879627,0.414842124871885,0.40069353654749,53.8,-23.36,-18.1,22.95,-30.25,-6.98,"Temporal","Temporal"
"T3p.R","LG.L",8.99731320125828,11.8564581577335,134.434899594712,134.434899594712,13.0160174233699,47.0192503779856,0.928021833641226,4.90849107907321,2.64020077729899,3.87160198005038,0.656494520626943,53.8,-23.36,-18.1,-12.57,-65.51,4.55,"Temporal","Occipital"
